year,month,day,avg_rel_hum,avg_air_temp_f,avg_air_temp_c,date_string,date
1989,2,16,87.7,26.6,-3,2/16/1989,2/16/1989
1989,2,17,89.4,26.4,-3.111111111,2/17/1989,2/17/1989
1989,2,18,88,27.1,-2.722222222,2/18/1989,2/18/1989
1989,2,19,96.7,32.5,0.277777778,2/19/1989,2/19/1989
1989,2,20,100,34.5,1.388888889,2/20/1989,2/20/1989
1989,2,21,92.1,29.5,-1.388888889,2/21/1989,2/21/1989
1989,2,22,87,19.4,-7,2/22/1989,2/22/1989
1989,2,23,76.1,14.4,-9.777777778,2/23/1989,2/23/1989
1989,2,24,76,20.8,-6.222222222,2/24/1989,2/24/1989
1989,2,25,89.6,34,1.111111111,2/25/1989,2/25/1989
1989,2,26,91.3,29.8,-1.222222222,2/26/1989,2/26/1989
1989,2,27,86.3,23.2,-4.888888889,2/27/1989,2/27/1989
1989,2,28,88.2,26.8,-2.888888889,2/28/1989,2/28/1989
1989,3,1,75.9,23,-5,3/1/1989,3/1/1989
1989,3,2,81.8,30.2,-1,3/2/1989,3/2/1989
1989,3,3,90.1,45.9,7.722222222,3/3/1989,3/3/1989
1989,3,4,99.3,42.4,5.777777778,3/4/1989,3/4/1989
1989,3,5,94.3,27.7,-2.388888889,3/5/1989,3/5/1989
1989,3,6,91.7,24.8,-4,3/6/1989,3/6/1989
1989,3,7,82.3,22.8,-5.111111111,3/7/1989,3/7/1989
1989,3,8,90.4,26.6,-3,3/8/1989,3/8/1989
1989,3,9,94.2,34.2,1.222222222,3/9/1989,3/9/1989
1989,3,10,95.6,41.2,5.111111111,3/10/1989,3/10/1989
1989,3,11,86.9,49.1,9.5,3/11/1989,3/11/1989
1989,3,12,94.3,39.7,4.277777778,3/12/1989,3/12/1989
1989,3,13,91.6,46.4,8,3/13/1989,3/13/1989
1989,3,14,93.7,53.4,11.88888889,3/14/1989,3/14/1989
1989,3,15,84.4,34,1.111111111,3/15/1989,3/15/1989
1989,3,16,86.2,40.3,4.611111111,3/16/1989,3/16/1989
1989,3,17,83.4,50.2,10.11111111,3/17/1989,3/17/1989
1989,3,18,92,28.8,-1.777777778,3/18/1989,3/18/1989
1989,3,19,82.5,33.6,0.888888889,3/19/1989,3/19/1989
1989,3,20,98.5,37.4,3,3/20/1989,3/20/1989
