Time,AMO
1950 Jan,0.106
1950 Feb,-0.038
1950 Mar,-0.11
1950 Apr,-0.135
1950 May,-0.063
1950 Jun,-0.047
1950 Jul,-0.06
1950 Aug,0.016
1950 Sep,0.005
1950 Oct,-0.095
1950 Nov,0.075
1950 Dec,0.084
1951 Jan,0.098
1951 Feb,-0.006
1951 Mar,0.008
1951 Apr,0.164
1951 May,0.168
1951 Jun,0.285
1951 Jul,0.417
1951 Aug,0.299
1951 Sep,0.245
1951 Oct,0.254
1951 Nov,0.17
1951 Dec,0.17
1952 Jan,0.167
1952 Feb,0.178
1952 Mar,0.226
1952 Apr,0.186
1952 May,0.176
1952 Jun,0.378
1952 Jul,0.367
1952 Aug,0.399
1952 Sep,0.357
1952 Oct,0.35
1952 Nov,0.245
1952 Dec,0.335
1953 Jan,0.26
1953 Feb,0.18
1953 Mar,0.136
1953 Apr,0.308
1953 May,0.337
1953 Jun,0.27
1953 Jul,0.338
1953 Aug,0.253
1953 Sep,0.275
1953 Oct,0.143
1953 Nov,0.239
1953 Dec,0.253
1954 Jan,0.222
1954 Feb,0.09
1954 Mar,0.095
1954 Apr,-0.019
1954 May,0.064
1954 Jun,0.094
1954 Jul,-0.05
1954 Aug,-0.02
1954 Sep,-0.016
1954 Oct,-0.038
1954 Nov,-0.032
1954 Dec,-0.057
1955 Jan,0.07
1955 Feb,0.035
1955 Mar,0.036
1955 Apr,0.09
1955 May,0.171
1955 Jun,0.188
1955 Jul,0.263
1955 Aug,0.169
1955 Sep,0.197
1955 Oct,0.274
1955 Nov,0.381
1955 Dec,0.251
1956 Jan,0.181
1956 Feb,0.089
1956 Mar,0.008
1956 Apr,0.058
1956 May,-0.064
1956 Jun,-0.27
1956 Jul,-0.096
1956 Aug,-0.104
1956 Sep,-0.095
1956 Oct,-0.049
1956 Nov,-0.093
1956 Dec,0.013
1957 Jan,-0.087
1957 Feb,-0.112
1957 Mar,-0.025
1957 Apr,-0.08
1957 May,-0.127
1957 Jun,-0.018
1957 Jul,0.034
1957 Aug,0.196
1957 Sep,0.215
1957 Oct,0.143
1957 Nov,0.078
1957 Dec,0.073
1958 Jan,0.042
1958 Feb,0.183
1958 Mar,0.338
1958 Apr,0.34
1958 May,0.195
1958 Jun,0.215
1958 Jul,0.158
1958 Aug,0.155
1958 Sep,0.206
1958 Oct,0.145
1958 Nov,0.179
1958 Dec,0.213
1959 Jan,0.093
1959 Feb,0.108
