Time,ONI
1950 Jan,-1.53
1950 Feb,-1.34
1950 Mar,-1.16
1950 Apr,-1.18
1950 May,-1.07
1950 Jun,-0.85
1950 Jul,-0.54
1950 Aug,-0.42
1950 Sep,-0.39
1950 Oct,-0.44
1950 Nov,-0.6
1950 Dec,-0.8
1951 Jan,-0.82
1951 Feb,-0.54
1951 Mar,-0.17
1951 Apr,0.18
1951 May,0.36
1951 Jun,0.58
1951 Jul,0.7
1951 Aug,0.89
1951 Sep,0.99
1951 Oct,1.15
1951 Nov,1.04
1951 Dec,0.81
1952 Jan,0.53
1952 Feb,0.37
1952 Mar,0.34
1952 Apr,0.29
1952 May,0.2
1952 Jun,0
1952 Jul,-0.08
1952 Aug,0
1952 Sep,0.15
1952 Oct,0.1
1952 Nov,0.04
1952 Dec,0.15
1953 Jan,0.4
1953 Feb,0.6
1953 Mar,0.63
1953 Apr,0.66
1953 May,0.75
1953 Jun,0.77
1953 Jul,0.75
1953 Aug,0.73
1953 Sep,0.78
1953 Oct,0.84
1953 Nov,0.84
1953 Dec,0.81
1954 Jan,0.76
1954 Feb,0.47
1954 Mar,-0.05
1954 Apr,-0.41
1954 May,-0.54
1954 Jun,-0.5
1954 Jul,-0.64
1954 Aug,-0.84
1954 Sep,-0.9
1954 Oct,-0.77
1954 Nov,-0.73
1954 Dec,-0.66
1955 Jan,-0.68
1955 Feb,-0.62
1955 Mar,-0.69
1955 Apr,-0.8
1955 May,-0.79
1955 Jun,-0.72
1955 Jul,-0.68
1955 Aug,-0.75
1955 Sep,-1.09
1955 Oct,-1.42
1955 Nov,-1.67
1955 Dec,-1.47
1956 Jan,-1.11
1956 Feb,-0.76
1956 Mar,-0.63
1956 Apr,-0.54
1956 May,-0.52
1956 Jun,-0.51
1956 Jul,-0.57
1956 Aug,-0.55
1956 Sep,-0.46
1956 Oct,-0.42
1956 Nov,-0.43
1956 Dec,-0.43
1957 Jan,-0.25
1957 Feb,0.06
1957 Mar,0.41
1957 Apr,0.72
1957 May,0.92
1957 Jun,1.11
1957 Jul,1.25
1957 Aug,1.32
1957 Sep,1.33
1957 Oct,1.39
1957 Nov,1.53
1957 Dec,1.74
1958 Jan,1.81
1958 Feb,1.66
1958 Mar,1.27
1958 Apr,0.93
1958 May,0.74
1958 Jun,0.64
1958 Jul,0.57
1958 Aug,0.43
1958 Sep,0.39
1958 Oct,0.44
1958 Nov,0.5
1958 Dec,0.61
1959 Jan,0.61
1959 Feb,0.62
1959 Mar,0.52
1959 Apr,0.33
1959 May,0.2
1959 Jun,-0.07
1959 Jul,-0.18
1959 Aug,-0.28
1959 Sep,-0.09
1959 Oct,-0.03
1959 Nov,0.05
1959 Dec,-0.04
1960 Jan,-0.1
1960 Feb,-0.1
1960 Mar,-0.07
1960 Apr,0.03
1960 May,0.02
1960 Jun,0.03
1960 Jul,0.13
1960 Aug,0.24
1960 Sep,0.27
1960 Oct,0.2
1960 Nov,0.12
1960 Dec,0.05
1961 Jan,0.04
1961 Feb,0.03
1961 Mar,0.04
1961 Apr,0.09
1961 May,0.23
1961 Jun,0.27
1961 Jul,0.14
1961 Aug,-0.13
1961 Sep,-0.3
1961 Oct,-0.26
1961 Nov,-0.19
1961 Dec,-0.16
1962 Jan,-0.24
1962 Feb,-0.22
1962 Mar,-0.2
1962 Apr,-0.26
1962 May,-0.28
1962 Jun,-0.2
1962 Jul,-0.04
1962 Aug,-0.07
1962 Sep,-0.11
1962 Oct,-0.22
1962 Nov,-0.31
1962 Dec,-0.43
1963 Jan,-0.4
1963 Feb,-0.15
1963 Mar,0.15
1963 Apr,0.27
1963 May,0.31
1963 Jun,0.52
1963 Jul,0.86
1963 Aug,1.14
1963 Sep,1.22
1963 Oct,1.29
1963 Nov,1.37
1963 Dec,1.31
1964 Jan,1.07
1964 Feb,0.62
1964 Mar,0.12
1964 Apr,-0.33
1964 May,-0.58
1964 Jun,-0.58
1964 Jul,-0.6
1964 Aug,-0.66
1964 Sep,-0.76
1964 Oct,-0.8
1964 Nov,-0.82
1964 Dec,-0.78
1965 Jan,-0.59
1965 Feb,-0.28
1965 Mar,-0.07
1965 Apr,0.18
1965 May,0.46
1965 Jun,0.83
1965 Jul,1.22
1965 Aug,1.54
1965 Sep,1.85
1965 Oct,1.98
1965 Nov,1.97
1965 Dec,1.72
1966 Jan,1.37
1966 Feb,1.17
1966 Mar,0.98
1966 Apr,0.66
1966 May,0.35
1966 Jun,0.24
1966 Jul,0.24
1966 Aug,0.12
1966 Sep,-0.05
1966 Oct,-0.1
1966 Nov,-0.18
1966 Dec,-0.3
1967 Jan,-0.41
1967 Feb,-0.48
1967 Mar,-0.53
1967 Apr,-0.45
1967 May,-0.24
1967 Jun,0
1967 Jul,0.05
1967 Aug,-0.16
1967 Sep,-0.3
1967 Oct,-0.38
1967 Nov,-0.34
1967 Dec,-0.44
1968 Jan,-0.64
1968 Feb,-0.74
1968 Mar,-0.62
1968 Apr,-0.44
1968 May,-0.04
1968 Jun,0.28
1968 Jul,0.58
1968 Aug,0.53
1968 Sep,0.45
1968 Oct,0.55
1968 Nov,0.73
1968 Dec,0.98
1969 Jan,1.13
1969 Feb,1.09
1969 Mar,0.95
1969 Apr,0.77
1969 May,0.61
1969 Jun,0.43
1969 Jul,0.36
1969 Aug,0.51
1969 Sep,0.79
1969 Oct,0.86
1969 Nov,0.81
1969 Dec,0.63
1970 Jan,0.51
1970 Feb,0.34
1970 Mar,0.29
1970 Apr,0.19
1970 May,0.04
1970 Jun,-0.3
1970 Jul,-0.63
1970 Aug,-0.76
1970 Sep,-0.77
1970 Oct,-0.74
1970 Nov,-0.86
1970 Dec,-1.15
1971 Jan,-1.36
1971 Feb,-1.38
1971 Mar,-1.12
1971 Apr,-0.85
1971 May,-0.73
1971 Jun,-0.74
1971 Jul,-0.8
1971 Aug,-0.77
1971 Sep,-0.82
1971 Oct,-0.85
1971 Nov,-0.96
1971 Dec,-0.9
1972 Jan,-0.71
1972 Feb,-0.35
1972 Mar,0.06
1972 Apr,0.41
1972 May,0.67
1972 Jun,0.92
1972 Jul,1.13
1972 Aug,1.37
1972 Sep,1.58
1972 Oct,1.84
1972 Nov,2.09
1972 Dec,2.12
1973 Jan,1.84
1973 Feb,1.25
1973 Mar,0.54
1973 Apr,-0.1
1973 May,-0.54
1973 Jun,-0.87
1973 Jul,-1.11
1973 Aug,-1.28
1973 Sep,-1.45
1973 Oct,-1.71
1973 Nov,-1.95
1973 Dec,-2.03
1974 Jan,-1.84
1974 Feb,-1.55
1974 Mar,-1.23
1974 Apr,-1.03
1974 May,-0.91
1974 Jun,-0.77
1974 Jul,-0.53
1974 Aug,-0.37
1974 Sep,-0.41
1974 Oct,-0.61
1974 Nov,-0.75
1974 Dec,-0.64
1975 Jan,-0.54
1975 Feb,-0.57
1975 Mar,-0.65
1975 Apr,-0.73
1975 May,-0.83
1975 Jun,-0.98
1975 Jul,-1.13
1975 Aug,-1.2
1975 Sep,-1.37
1975 Oct,-1.43
1975 Nov,-1.55
1975 Dec,-1.65
1976 Jan,-1.56
1976 Feb,-1.17
1976 Mar,-0.73
1976 Apr,-0.47
1976 May,-0.28
1976 Jun,-0.05
1976 Jul,0.18
1976 Aug,0.35
1976 Sep,0.62
1976 Oct,0.81
1976 Nov,0.86
1976 Dec,0.85
1977 Jan,0.71
1977 Feb,0.64
1977 Mar,0.34
1977 Apr,0.23
1977 May,0.21
1977 Jun,0.34
1977 Jul,0.35
1977 Aug,0.42
1977 Sep,0.57
1977 Oct,0.73
1977 Nov,0.81
1977 Dec,0.79
1978 Jan,0.69
1978 Feb,0.42
1978 Mar,0.06
1978 Apr,-0.18
1978 May,-0.31
1978 Jun,-0.29
1978 Jul,-0.36
1978 Aug,-0.42
1978 Sep,-0.42
1978 Oct,-0.29
1978 Nov,-0.08
1978 Dec,0
1979 Jan,0.03
1979 Feb,0.07
1979 Mar,0.2
1979 Apr,0.28
1979 May,0.23
1979 Jun,0.05
1979 Jul,0.04
1979 Aug,0.17
1979 Sep,0.33
1979 Oct,0.45
1979 Nov,0.52
1979 Dec,0.64
1980 Jan,0.59
1980 Feb,0.46
1980 Mar,0.34
1980 Apr,0.38
1980 May,0.48
1980 Jun,0.46
1980 Jul,0.25
1980 Aug,0.03
1980 Sep,-0.07
1980 Oct,0.02
1980 Nov,0.11
1980 Dec,-0.01
1981 Jan,-0.26
1981 Feb,-0.5
1981 Mar,-0.47
1981 Apr,-0.37
1981 May,-0.26
1981 Jun,-0.29
1981 Jul,-0.3
1981 Aug,-0.25
1981 Sep,-0.16
1981 Oct,-0.13
1981 Nov,-0.15
1981 Dec,-0.08
1982 Jan,-0.05
1982 Feb,0.07
1982 Mar,0.19
1982 Apr,0.47
1982 May,0.66
1982 Jun,0.72
1982 Jul,0.79
1982 Aug,1.07
1982 Sep,1.58
1982 Oct,1.97
1982 Nov,2.18
1982 Dec,2.23
1983 Jan,2.18
1983 Feb,1.92
1983 Mar,1.54
1983 Apr,1.29
1983 May,1.06
1983 Jun,0.72
1983 Jul,0.31
1983 Aug,-0.08
1983 Sep,-0.46
1983 Oct,-0.81
1983 Nov,-1
1983 Dec,-0.91
1984 Jan,-0.6
1984 Feb,-0.42
1984 Mar,-0.34
1984 Apr,-0.43
1984 May,-0.51
1984 Jun,-0.45
1984 Jul,-0.3
1984 Aug,-0.16
1984 Sep,-0.24
1984 Oct,-0.56
1984 Nov,-0.92
1984 Dec,-1.14
1985 Jan,-1.04
1985 Feb,-0.85
1985 Mar,-0.77
1985 Apr,-0.78
1985 May,-0.78
1985 Jun,-0.63
1985 Jul,-0.49
1985 Aug,-0.46
1985 Sep,-0.4
1985 Oct,-0.35
1985 Nov,-0.27
1985 Dec,-0.36
1986 Jan,-0.49
1986 Feb,-0.47
1986 Mar,-0.31
1986 Apr,-0.2
1986 May,-0.12
1986 Jun,-0.04
1986 Jul,0.22
1986 Aug,0.44
1986 Sep,0.71
1986 Oct,0.94
1986 Nov,1.14
1986 Dec,1.22
1987 Jan,1.23
1987 Feb,1.19
1987 Mar,1.06
1987 Apr,0.95
1987 May,0.97
1987 Jun,1.22
1987 Jul,1.51
1987 Aug,1.7
1987 Sep,1.65
1987 Oct,1.48
1987 Nov,1.25
1987 Dec,1.11
1988 Jan,0.81
1988 Feb,0.54
1988 Mar,0.14
1988 Apr,-0.31
1988 May,-0.88
1988 Jun,-1.3
1988 Jul,-1.3
1988 Aug,-1.11
1988 Sep,-1.19
1988 Oct,-1.48
1988 Nov,-1.8
1988 Dec,-1.85
1989 Jan,-1.69
1989 Feb,-1.43
1989 Mar,-1.08
1989 Apr,-0.83
1989 May,-0.58
1989 Jun,-0.4
1989 Jul,-0.31
1989 Aug,-0.27
1989 Sep,-0.24
1989 Oct,-0.22
1989 Nov,-0.16
1989 Dec,-0.05
1990 Jan,0.14
1990 Feb,0.21
1990 Mar,0.28
1990 Apr,0.29
1990 May,0.29
1990 Jun,0.31
1990 Jul,0.33
1990 Aug,0.38
1990 Sep,0.39
1990 Oct,0.35
1990 Nov,0.4
1990 Dec,0.41
1991 Jan,0.41
1991 Feb,0.26
1991 Mar,0.22
1991 Apr,0.26
1991 May,0.45
1991 Jun,0.64
1991 Jul,0.73
1991 Aug,0.64
1991 Sep,0.62
1991 Oct,0.79
1991 Nov,1.21
1991 Dec,1.53
1992 Jan,1.71
1992 Feb,1.63
1992 Mar,1.48
1992 Apr,1.29
1992 May,1.06
1992 Jun,0.73
1992 Jul,0.37
1992 Aug,0.09
1992 Sep,-0.13
1992 Oct,-0.25
1992 Nov,-0.28
1992 Dec,-0.13
1993 Jan,0.09
1993 Feb,0.3
1993 Mar,0.5
1993 Apr,0.67
1993 May,0.7
1993 Jun,0.57
1993 Jul,0.32
1993 Aug,0.25
1993 Sep,0.15
1993 Oct,0.1
1993 Nov,0.04
1993 Dec,0.06
1994 Jan,0.06
1994 Feb,0.07
1994 Mar,0.17
1994 Apr,0.31
1994 May,0.42
1994 Jun,0.41
1994 Jul,0.44
1994 Aug,0.43
1994 Sep,0.55
1994 Oct,0.74
1994 Nov,1.01
1994 Dec,1.09
1995 Jan,0.96
1995 Feb,0.72
1995 Mar,0.53
1995 Apr,0.3
1995 May,0.14
1995 Jun,-0.03
1995 Jul,-0.24
1995 Aug,-0.54
1995 Sep,-0.81
1995 Oct,-0.97
1995 Nov,-1
1995 Dec,-0.98
1996 Jan,-0.9
1996 Feb,-0.75
1996 Mar,-0.59
1996 Apr,-0.39
1996 May,-0.31
1996 Jun,-0.3
1996 Jul,-0.27
1996 Aug,-0.32
1996 Sep,-0.35
1996 Oct,-0.4
1996 Nov,-0.45
1996 Dec,-0.49
1997 Jan,-0.5
1997 Feb,-0.36
1997 Mar,-0.1
1997 Apr,0.28
1997 May,0.75
1997 Jun,1.22
1997 Jul,1.6
1997 Aug,1.9
1997 Sep,2.14
1997 Oct,2.33
1997 Nov,2.4
1997 Dec,2.39
1998 Jan,2.24
1998 Feb,1.93
1998 Mar,1.44
1998 Apr,0.99
1998 May,0.45
1998 Jun,-0.13
1998 Jul,-0.78
1998 Aug,-1.12
1998 Sep,-1.31
1998 Oct,-1.35
1998 Nov,-1.48
1998 Dec,-1.57
1999 Jan,-1.55
1999 Feb,-1.3
1999 Mar,-1.07
1999 Apr,-0.98
1999 May,-1.02
1999 Jun,-1.04
1999 Jul,-1.1
1999 Aug,-1.11
1999 Sep,-1.16
1999 Oct,-1.26
1999 Nov,-1.46
1999 Dec,-1.65
2000 Jan,-1.66
2000 Feb,-1.41
2000 Mar,-1.07
2000 Apr,-0.81
2000 May,-0.71
2000 Jun,-0.64
2000 Jul,-0.55
2000 Aug,-0.51
2000 Sep,-0.55
2000 Oct,-0.63
2000 Nov,-0.75
2000 Dec,-0.74
2001 Jan,-0.68
2001 Feb,-0.52
2001 Mar,-0.44
2001 Apr,-0.34
2001 May,-0.25
2001 Jun,-0.12
2001 Jul,-0.08
2001 Aug,-0.13
2001 Sep,-0.19
2001 Oct,-0.29
2001 Nov,-0.35
2001 Dec,-0.31
2002 Jan,-0.15
2002 Feb,0.03
2002 Mar,0.09
2002 Apr,0.2
2002 May,0.43
2002 Jun,0.65
2002 Jul,0.79
2002 Aug,0.86
2002 Sep,1.01
2002 Oct,1.21
2002 Nov,1.31
2002 Dec,1.14
2003 Jan,0.92
2003 Feb,0.63
2003 Mar,0.38
2003 Apr,-0.04
2003 May,-0.26
