Time,PDO
1950 Jan,-1.61
1950 Feb,-2.17
1950 Mar,-1.89
1950 Apr,-1.99
1950 May,-3.19
1950 Jun,-2.52
1950 Jul,-3.65
1950 Aug,-2.98
1950 Sep,-2.4
1950 Oct,-1.92
1950 Nov,-1.45
1950 Dec,-1.06
1951 Jan,-1.19
1951 Feb,-1.52
1951 Mar,-1.72
1951 Apr,-1.35
1951 May,-1.29
1951 Jun,-1.77
1951 Jul,-0.23
1951 Aug,-1.76
1951 Sep,-0.78
1951 Oct,-0.09
1951 Nov,-0.31
1951 Dec,-1.45
1952 Jan,-2.19
1952 Feb,-1.35
1952 Mar,-1.67
1952 Apr,-1.92
1952 May,-2.07
1952 Jun,-2.13
1952 Jul,-2.05
1952 Aug,-1.58
1952 Sep,-1.36
1952 Oct,-0.91
1952 Nov,-0.53
1952 Dec,-0.83
1953 Jan,-0.16
1953 Feb,-0.46
1953 Mar,-1.27
1953 Apr,-0.9
1953 May,-0.55
1953 Jun,-0.2
1953 Jul,0.06
1953 Aug,-0.92
1953 Sep,-1.11
1953 Oct,-1.48
1953 Nov,-0.51
1953 Dec,-0.18
1954 Jan,-1.13
1954 Feb,-0.95
1954 Mar,-1.15
1954 Apr,-1.25
1954 May,-0.76
1954 Jun,0.49
1954 Jul,-0.08
1954 Aug,-0.32
1954 Sep,-1.05
1954 Oct,0.02
1954 Nov,0.85
1954 Dec,0.49
1955 Jan,-0.23
1955 Feb,-1.01
1955 Mar,-1.24
1955 Apr,-2.21
1955 May,-1.89
1955 Jun,-2.18
1955 Jul,-2.75
1955 Aug,-2.66
1955 Sep,-2.48
1955 Oct,-3.35
1955 Nov,-2.63
1955 Dec,-2.2
1956 Jan,-2.26
1956 Feb,-2.28
1956 Mar,-2.93
1956 Apr,-2.55
1956 May,-1.62
1956 Jun,-1.98
1956 Jul,-1.48
1956 Aug,-1
1956 Sep,-0.28
1956 Oct,-1.66
1956 Nov,-2.44
1956 Dec,-1.27
1957 Jan,-1.31
1957 Feb,-1.57
1957 Mar,-0.83
1957 Apr,-0.81
1957 May,-0.02
1957 Jun,1.53
1957 Jul,0.59
1957 Aug,0.34
1957 Sep,1.84
1957 Oct,1.72
1957 Nov,1.54
1957 Dec,0.46
1958 Jan,0.83
1958 Feb,0.94
1958 Mar,0.62
1958 Apr,0.56
1958 May,1.46
1958 Jun,1.82
1958 Jul,0.61
1958 Aug,1.06
1958 Sep,0.77
