Time,SPEI
1950 Jan,1.92
1950 Feb,1.22
1950 Mar,-0.35
1950 Apr,1.23
1950 May,-0.98
1950 Jun,0.81
1950 Jul,0.51
1950 Aug,0.19
1950 Sep,0.26
1950 Oct,-1.46
1950 Nov,0.2
1950 Dec,-0.75
1951 Jan,0.11
1951 Feb,1.53
1951 Mar,0.67
1951 Apr,0.21
1951 May,-0.48
1951 Jun,0.98
1951 Jul,0.72
1951 Aug,0.44
1951 Sep,0.33
1951 Oct,0.29
1951 Nov,0.74
1951 Dec,0.14
1952 Jan,-0.11
1952 Feb,-0.47
1952 Mar,0.89
1952 Apr,0.07
1952 May,-0.23
1952 Jun,-0.09
1952 Jul,-0.32
1952 Aug,0
1952 Sep,-0.74
1952 Oct,-1.01
1952 Nov,0.28
1952 Dec,-0.05
1953 Jan,-0.1
1953 Feb,-0.29
1953 Mar,0.82
1953 Apr,-0.16
1953 May,-0.52
1953 Jun,-0.83
1953 Jul,-0.13
1953 Aug,-1.58
1953 Sep,-1.08
1953 Oct,-1.11
1953 Nov,-1.57
1953 Dec,-0.37
1954 Jan,-0.39
1954 Feb,-0.27
1954 Mar,0.01
1954 Apr,0.02
1954 May,-0.35
1954 Jun,-0.45
1954 Jul,-0.78
1954 Aug,0.88
1954 Sep,-1.1
1954 Oct,1.19
1954 Nov,-1.09
1954 Dec,0.28
1955 Jan,0.02
1955 Feb,0.74
1955 Mar,-0.42
1955 Apr,-0.21
1955 May,-0.15
1955 Jun,0.29
1955 Jul,-0.63
1955 Aug,-0.75
1955 Sep,-0.35
1955 Oct,1
1955 Nov,-0.46
1955 Dec,-1.79
1956 Jan,-1.33
1956 Feb,0.69
1956 Mar,-1.33
1956 Apr,0.1
1956 May,-0.11
1956 Jun,-0.94
1956 Jul,0.61
1956 Aug,0.45
1956 Sep,-1.2
1956 Oct,-1.96
1956 Nov,-0.18
1956 Dec,0.04
1957 Jan,0.21
1957 Feb,0.17
1957 Mar,-0.51
1957 Apr,1.43
1957 May,0.79
1957 Jun,0.88
1957 Jul,0.17
1957 Aug,-0.36
1957 Sep,-0.78
1957 Oct,0.63
1957 Nov,0.54
1957 Dec,1.18
1958 Jan,-0.18
1958 Feb,-1.26
1958 Mar,-0.93
1958 Apr,-0.5
1958 May,-0.86
1958 Jun,1.29
1958 Jul,1.75
1958 Aug,0.02
1958 Sep,-0.19
1958 Oct,-0.87
1958 Nov,0.46
1958 Dec,-1.82
