Time,NAO,SPI
1950 Jan,0.7,1.93
1950 Feb,-1.02,1.21
1950 Mar,-0.22,-0.56
1950 Apr,-0.59,1
1950 May,-1.64,-0.97
1950 Jun,1.37,0.79
1950 Jul,-0.22,0.25
1950 Aug,-1.36,-0.22
1950 Sep,1.87,0.15
1950 Oct,-0.39,-1.08
1950 Nov,1.32,-0.07
1950 Dec,0.93,-0.79
1951 Jan,-0.83,0.1
1951 Feb,-1.49,1.52
1951 Mar,1.01,0.51
1951 Apr,-1.12,-0.01
1951 May,-0.4,-0.4
1951 Jun,-0.09,0.86
1951 Jul,-0.28,0.68
1951 Aug,-0.54,0.32
1951 Sep,-0.73,0.11
1951 Oct,-1.13,0.42
1951 Nov,-0.43,0.47
1951 Dec,0.33,0.1
1952 Jan,-0.49,-0.08
1952 Feb,-0.04,-0.38
1952 Mar,-1.67,0.77
1952 Apr,-0.66,0.14
1952 May,1.09,-0.31
1952 Jun,0.4,0.41
1952 Jul,-0.71,-0.12
1952 Aug,-0.35,-0.08
1952 Sep,1.32,-0.82
1952 Oct,1.04,-1.56
1952 Nov,-0.47,0.35
1952 Dec,0.37,-0.04
1953 Jan,0.74,-0.08
1953 Feb,-0.83,-0.19
1953 Mar,1.34,0.86
1953 Apr,-0.09,-0.43
1953 May,-0.25,-0.5
1953 Jun,-0.6,-0.39
1953 Jul,-1.9,-0.02
1953 Aug,-0.44,-1.59
1953 Sep,0.6,-0.99
1953 Oct,0.4,-0.83
1953 Nov,0.69,-1.42
1953 Dec,-1.84,-0.37
1954 Jan,-1.12,-0.4
1954 Feb,-0.53,0.07
1954 Mar,-0.42,-0.16
1954 Apr,-0.34,0.43
1954 May,-1.1,-0.79
1954 Jun,1.76,-0.09
1954 Jul,1.07,-0.5
1954 Aug,0.32,1.02
1954 Sep,-1.47,-0.81
1954 Oct,-1.29,1.24
1954 Nov,0.17,-1.02
1954 Dec,-0.22,0.26
1955 Jan,-1.12,0.01
1955 Feb,-0.05,0.72
1955 Mar,-1.06,-0.44
1955 Apr,2.21,0.34
1955 May,0.1,0.03
1955 Jun,-0.75,-0.02
1955 Jul,-1.37,-0.18
1955 Aug,0.24,-0.44
1955 Sep,0.88,-0.18
1955 Oct,0.51,1.05
1955 Nov,0.1,-0.68
1955 Dec,1.05,-1.82
1956 Jan,0.11,-1.34
1956 Feb,-1.26,0.68
1956 Mar,0.49,-1.38
1956 Apr,-0.79,-0.01
1956 May,-0.72,0.03
1956 Jun,-1.19,-0.84
1956 Jul,-0.55,0.57
1956 Aug,-1.66,0.53
1956 Sep,1.32,-1.33
1956 Oct,0.73,-1.52
1956 Nov,0.12,-0.2
1956 Dec,-0.54,0.09
1957 Jan,-1.06,0.19
1957 Feb,-1.96,0.25
1957 Mar,0.37,-0.53
1957 Apr,-0.24,1.51
1957 May,-1.38,0.81
1957 Jun,-1.73,0.93
1957 Jul,-1.56,0.32
1957 Aug,-0.07,-0.33
1957 Sep,0.16,-1
1957 Oct,1.64,0.47
1957 Nov,-0.7,0.5
1957 Dec,-0.87,1.22
1958 Jan,0.68,-0.2
1958 Feb,-0.15,-1.33
1958 Mar,0.36,-1.17
1958 Apr,0.39,-0.48
1958 May,0.4,-0.9
1958 Jun,0.74,1.12
1958 Jul,0.06,1.68
1958 Aug,0.88,0.07
1958 Sep,0.89,-0.21
1958 Oct,0.41,-0.81
1958 Nov,0.44,0.59
1958 Dec,-1.29,-1.86
1959 Jan,-1.89,0.48
1959 Feb,-0.5,0.67
1959 Mar,1.36,0.21
1959 Apr,0.45,-0.19
1959 May,-0.21,0.18
1959 Jun,0.35,-1.53
1959 Jul,-1.4,-0.01
1959 Aug,0.39,0.5
1959 Sep,-1.73,0.53
1959 Oct,-0.51,0.9
